,Node,Degree,Strenght,Clustering coefficient,Average path length,Maximum path length,Betweenness,Eigenvector centrality,PageRank
2029,MXS,3,395.0,0.3333333333333333,4.631011608623549,12,0.0005529444290848769,4.8702799731489476e-05,0.00011211546433719222
2030,MXT,8,190.0,0.25,4.580431177446103,12,0.0013039535626486094,0.00011208871977891124,0.0002570578312722221
2031,MXV,2,150.0,1.0,4.621890547263682,12,0.0,0.00010166612339897707,8.85353857399476e-05
2032,MXW,2,100.0,1.0,4.621890547263682,12,0.0,0.00010166612339897707,8.561264316616526e-05
2033,MXX,1,418.0,0.0,4.07158651188502,12,0.0,0.0015322665264205196,4.6452837177432706e-05
2034,MXZ,2,780.0,1.0,3.831951354339414,11,0.0,0.001287968830695467,4.9963856466448146e-05
2035,MYA,2,820.0,0.0,4.2335544499723605,11,6.680995693544225e-06,0.0002928859745513637,0.00010715278167084012
2036,MYC,2,228.0,0.0,5.199557766721946,13,1.0947398881344042e-07,4.698521937952883e-05,4.663512072508568e-05
2037,MYD,3,1185.0,0.6666666666666666,4.3935876174682145,12,7.645802393319649e-08,0.0004916048595113047,0.00011585475771823255
2038,MYE,1,896.0,0.0,3.798783858485351,11,0.0,0.0013361592424872726,4.8598779717875394e-05
2039,MYG,2,150.0,1.0,4.3468767274737425,12,0.0,0.0005162077632738597,6.729470817788303e-05
2040,MYI,2,108.0,1.0,5.458264234383638,11,0.0,1.6023545558188142e-06,0.00010400339178568689
2041,MYJ,10,36178.0,0.7777777777777778,3.7103372028745163,11,9.052612790970606e-06,0.004413991767438987,0.00033074234204656867
2042,MYR,13,20297.0,0.8461538461538461,3.6359867330016584,12,8.30262685350137e-06,0.017523111882118133,0.0001783847230309367
2043,MYT,3,598.0,0.3333333333333333,5.60530679933665,12,0.000552944429084877,3.1857086657789737e-06,0.00016975290231736613
2044,MYU,2,234.0,1.0,5.195411829740188,13,0.0,5.2812627689978575e-06,0.00012939341007263917
2045,MYW,2,436.0,1.0,4.584300718629077,12,0.0,0.00012202500133907653,8.300333799561686e-05
2046,MYX,2,48.0,0.0,5.723604201216141,11,1.0736162903533794e-05,5.99970102076334e-07,0.00010820702352809942
2047,MYY,13,15038.0,0.24358974358974358,3.9936428966279713,11,0.0024577948812224996,0.0011214055782087361,0.0005411260524631635
2048,MZG,6,24965.5,0.4,4.065782200110558,11,3.3732151176491235e-05,0.0005558167627733792,0.0002730491592903441
2049,MZI,3,243.0,0.3333333333333333,4.644278606965174,12,0.0016579157909674329,0.0001253915486864136,0.00016569360271898864
2050,MZL,3,3233.5,1.0,4.262299613045882,12,0.0,0.0006011546882605133,0.00010959319300790497
2051,MZO,1,96.0,0.0,4.197622996130459,12,0.0,0.0007645110809515047,4.329929521926263e-05
2052,MZT,16,15487.0,0.5666666666666667,3.584577114427861,11,0.00014144996992023642,0.011065616674609948,0.00019707864860979914
2053,MZV,1,456.0,0.0,4.9930901050304035,12,0.0,1.9915237872126844e-05,5.541415508228529e-05
2054,NAA,2,540.0,1.0,4.232725262576009,11,0.0,0.0002987639430237252,8.046790858300698e-05
2055,NAG,5,3213.0,0.8,4.071033720287452,11,6.892251812902418e-07,0.0018734911742158298,0.00010662859399214167
2056,NAJ,1,76.0,0.0,3.877003869541183,11,0.0,0.0020715316643777934,4.321194631805459e-05
2057,NAK,1,924.0,0.0,3.957158651188502,11,0.0,0.0011718670814140158,5.2760483144526316e-05
2058,NAL,1,770.0,0.0,3.877003869541183,11,0.0,0.0020715316643777934,5.921573699345213e-05
2059,NAN,25,18500.0,0.21,3.425649530127142,10,0.012277813163261306,0.005868292612434555,0.0010399861030208574
2060,NAP,23,51185.5,0.6205533596837944,3.4919845218352683,11,5.316875050772273e-05,0.03430606358103609,0.0005077044720524918
2061,NAS,38,43174.0,0.16642958748221906,3.347705914870094,11,0.007459480597938982,0.027603247276745135,0.0009782359812809639
2062,NAT,10,18269.0,0.6,4.048922056384743,12,0.00019285308025211433,0.0028008249251736525,0.00031941941700273815
2063,NAV,1,300.0,0.0,3.98065229408513,12,0.0,0.001905148162909323,4.564511846064582e-05
2064,NAW,1,1043.0,0.0,4.313709231619679,11,0.0,0.00024916133730707937,5.373066422519262e-05
2065,NBC,6,952.0,0.6,3.875069098949696,11,2.5945528424603397e-07,0.0025113244760775187,7.191201324209119e-05
2066,NBO,47,58163.0,0.17668825161887142,3.39469320066335,11,0.009419868107109475,0.02644153832333174,0.0023293519306371276
2067,NCA,2,144.0,0.0,4.657545605306799,13,0.00027617136480426554,0.00013139792118387398,8.251704762401755e-05
2068,NCE,54,129932.5,0.40111809923130676,3.300995024875622,11,0.0017983616070722346,0.06575646636410874,0.0014593220832683786
2069,NCH,1,42.0,0.0,4.58457711442786,12,0.0,0.0001198580387567204,4.359460631931532e-05
2070,NCL,21,30912.0,0.49047619047619045,3.51934770591487,11,0.00013926836428053836,0.02398793366312838,0.000350717933502584
